low_index,high_index,direction
0,1,DESCENDING
2,3,ASCENDING
0,2,ASCENDING
1,3,ASCENDING
0,1,ASCENDING
2,3,ASCENDING
4,5,ASCENDING
6,7,DESCENDING
4,6,DESCENDING
5,7,DESCENDING
4,5,DESCENDING
6,7,DESCENDING
0,4,DESCENDING
1,5,DESCENDING
2,6,DESCENDING
3,7,DESCENDING
0,2,DESCENDING
1,3,DESCENDING
0,1,DESCENDING
2,3,DESCENDING
4,6,DESCENDING
5,7,DESCENDING
4,5,DESCENDING
6,7,DESCENDING
8,9,ASCENDING
10,11,DESCENDING
8,10,DESCENDING
9,11,DESCENDING
8,9,DESCENDING
10,11,DESCENDING
12,13,DESCENDING
14,15,ASCENDING
12,14,ASCENDING
13,15,ASCENDING
12,13,ASCENDING
14,15,ASCENDING
8,12,ASCENDING
9,13,ASCENDING
10,14,ASCENDING
11,15,ASCENDING
8,10,ASCENDING
9,11,ASCENDING
8,9,ASCENDING
10,11,ASCENDING
12,14,ASCENDING
13,15,ASCENDING
12,13,ASCENDING
14,15,ASCENDING
0,8,ASCENDING
1,9,ASCENDING
2,10,ASCENDING
3,11,ASCENDING
4,12,ASCENDING
5,13,ASCENDING
6,14,ASCENDING
7,15,ASCENDING
0,4,ASCENDING
1,5,ASCENDING
2,6,ASCENDING
3,7,ASCENDING
0,2,ASCENDING
1,3,ASCENDING
0,1,ASCENDING
2,3,ASCENDING
4,6,ASCENDING
5,7,ASCENDING
4,5,ASCENDING
6,7,ASCENDING
8,12,ASCENDING
9,13,ASCENDING
10,14,ASCENDING
11,15,ASCENDING
8,10,ASCENDING
9,11,ASCENDING
8,9,ASCENDING
10,11,ASCENDING
12,14,ASCENDING
13,15,ASCENDING
12,13,ASCENDING
14,15,ASCENDING
